nm top,QE top,nm middle,QE middle,nm bottom,QE bottom
427.69,0.71924,600.27,0.038909,894.65,0.59237
427.95,0.71943,600.53,0.039151,894.9,0.59907
428.21,0.71962,600.79,0.039394,895.15,0.60578
428.48,0.71981,601.04,0.039627,895.39,0.61221
428.74,0.72,601.3,0.039869,895.64,0.61892
429,0.72024,601.56,0.040111,895.88,0.62536
429.26,0.72048,601.81,0.040344,896.13,0.63206
429.53,0.72072,602.07,0.040587,896.38,0.63877
429.79,0.72096,602.33,0.040829,896.62,0.6452
430.05,0.72119,602.59,0.041071,896.87,0.65191
430.32,0.72144,602.84,0.041304,897.11,0.65835
430.58,0.72167,603.1,0.041547,897.36,0.66505
430.84,0.72191,603.36,0.041789,897.6,0.67149
431.1,0.72214,603.61,0.042022,897.85,0.67819
431.37,0.72239,603.87,0.042265,898.1,0.6849
431.63,0.72262,604.13,0.042507,898.34,0.69133
431.89,0.72286,604.38,0.04274,898.59,0.69804
432.15,0.72309,604.64,0.042982,898.83,0.70448
432.42,0.72334,604.9,0.043225,899.08,0.71118
432.68,0.72357,605.15,0.043458,899.33,0.71789
432.94,0.72381,605.41,0.0437,899.57,0.72432
433.2,0.72405,605.67,0.043942,899.82,0.73103
433.47,0.72429,605.92,0.044175,900.06,0.73612
433.73,0.72453,606.18,0.044418,900.31,0.7372
433.99,0.72476,606.44,0.04466,900.55,0.73823
434.25,0.725,606.7,0.044903,900.8,0.73931
434.52,0.72524,606.95,0.045136,901.05,0.7404
434.78,0.72548,607.21,0.045378,901.29,0.74143
435.04,0.72571,607.47,0.04562,901.54,0.74251
435.3,0.72595,607.72,0.045853,901.78,0.74355
435.57,0.72619,607.98,0.046096,902.03,0.74463
435.83,0.72643,608.24,0.046338,902.27,0.74567
436.09,0.72666,608.49,0.046571,902.52,0.74675
436.35,0.7269,608.75,0.046813,902.76,0.74779
436.62,0.72715,609.01,0.047056,903.01,0.74887
436.88,0.72738,609.26,0.047289,903.26,0.74995
437.14,0.72762,609.52,0.047531,903.5,0.75099
437.4,0.72785,609.78,0.047774,903.75,0.75207
437.67,0.7281,610.03,0.048007,903.99,0.7531
437.93,0.72833,610.29,0.048249,904.24,0.75418
438.19,0.72874,610.55,0.048635,904.48,0.75522
438.45,0.72914,610.8,0.049043,904.73,0.7563
438.72,0.72956,611.06,0.049467,904.97,0.75734
438.98,0.72996,611.32,0.049891,905.22,0.75842
439.24,0.73037,611.57,0.050299,905.47,0.7595
439.5,0.73077,611.83,0.050723,905.71,0.76054
439.76,0.73117,612.09,0.051147,905.96,0.76162
440.03,0.73159,612.34,0.051555,906.2,0.76266
440.29,0.732,612.6,0.051979,906.45,0.76374
440.55,0.7324,612.86,0.052403,906.69,0.76478
440.81,0.73281,613.11,0.052811,906.94,0.76586
441.08,0.73323,613.37,0.053235,907.18,0.76689
441.34,0.73363,613.63,0.053659,907.43,0.76797
441.6,0.73403,613.88,0.054067,907.67,0.76901
441.86,0.73444,614.14,0.054491,907.92,0.77009
442.13,0.73486,614.4,0.054915,908.17,0.77117
442.39,0.73526,614.65,0.055323,908.41,0.77221
442.65,0.73566,614.91,0.055747,908.66,0.77329
442.91,0.73607,615.17,0.056171,908.9,0.77433
443.17,0.73647,615.42,0.056579,909.15,0.77541
443.44,0.73689,615.68,0.057003,909.39,0.77645
443.7,0.7373,615.94,0.057427,909.64,0.77753
443.96,0.7377,616.19,0.057835,909.88,0.77856
444.22,0.7381,616.45,0.058259,910.13,0.77965
444.49,0.73852,616.7,0.058667,910.37,0.78068
444.75,0.73893,616.96,0.059091,910.62,0.78176
445.01,0.73933,617.22,0.059515,910.86,0.7828
445.27,0.73973,617.47,0.059923,911.11,0.78388
445.53,0.74014,617.73,0.060347,911.35,0.78492
445.8,0.74056,617.99,0.060771,911.6,0.786
446.06,0.74096,618.24,0.061179,911.85,0.78708
446.32,0.74137,618.5,0.061603,912.09,0.78812
446.58,0.74177,618.76,0.062027,912.34,0.7892
446.84,0.74217,619.01,0.062435,912.58,0.79024
447.11,0.74259,619.27,0.062859,912.83,0.79132
447.37,0.743,619.53,0.063283,913.07,0.79235
447.63,0.7434,619.78,0.063996,913.32,0.79343
447.89,0.74381,620.04,0.064751,913.56,0.79447
448.16,0.74422,620.29,0.065477,913.81,0.79555
448.42,0.74463,620.55,0.066232,914.05,0.79659
448.68,0.74504,620.81,0.066987,914.3,0.79767
