,lon,lat,distance,rho_wind,rho_radiation
1328,-4.5,48.9,505.7216724481558,0.5591746940242819,0.8744193240709416
1329,-4.5,49.5,507.08457206963044,0.5189761610733467,0.8652810600274847
1330,-4.5,50.1,517.1105621114289,0.4405016957494803,0.8563300551557802
1331,-4.5,50.7,535.3156941791349,0.4053549995613155,0.8547020908763215
1332,-4.5,51.3,560.9065846426093,0.383378671627908,0.8475119880656358
1333,-4.5,51.9,592.9300004202576,0.32458090587779853,0.8463543434085748
1334,-4.5,52.5,630.4085804864185,0.30982868060272023,0.8428176375926342
1335,-4.5,53.1,672.432802577857,0.270554581530824,0.8403616647619583
1336,-4.5,53.7,718.2070365422478,0.26910834484659013,0.832669720577484
1337,-4.5,54.3,767.0619584391784,0.25126166810941675,0.8288255160685003
1338,-4.5,54.9,818.4476761063438,0.24063140746507256,0.8147026297054749
1339,-4.5,55.5,871.9183400018995,0.20172738492998318,0.799903213641144
1340,-4.5,56.1,927.1146580126081,0.16573088667585698,0.8022959946082575
1341,-4.5,56.7,983.7474876268705,0.1232082932468228,0.7975013716698418
1342,-4.5,57.3,1041.583734467541,0.08683529573396676,0.8069070246083784
1343,-4.5,57.9,1100.4347844834315,0.09432951321343064,0.8235282151164425
1344,-4.5,58.5,1160.1472552219768,0.09492752627786354,0.8155533457616723
1345,-4.5,59.1,1220.5957026155131,0.06511052867489,0.7943538314165246
1346,-4.5,59.7,1281.6769075240293,0.05056477335393062,0.7812876390376656
1347,-4.5,60.3,1343.3054088894323,0.056318671603322074,0.7796666718113296
1348,-4.5,60.9,1405.4100083291469,0.05099602306463336,0.7736270189759716
1349,-4.5,61.5,1467.9310272187595,0.05866530439064851,0.7687510510753832
1350,-4.5,62.1,1530.8181455905233,0.07644981375196556,0.7697122834824673
1351,-4.5,62.7,1594.0286912632685,0.0806387934527995,0.7673444066632498
1352,-4.5,63.3,1657.5262782829327,0.08378308372110214,0.7767309077265975
1353,-4.5,63.9,1721.2797173889792,0.09505852295067653,0.7794123687795872
1354,-4.5,64.5,1785.2621392703638,0.0986588717810773,0.7778833685462452
1355,-4.5,65.1,1849.4502850960698,0.09253216913073276,0.7789308776337163
1356,-4.5,65.7,1913.823929224774,0.10199888235023674,0.7688521378908101
1357,-4.5,66.3,1978.3654069181123,0.126803912536583,0.7610235035555998
1358,-4.5,66.9,2043.059225916653,0.1355082488184447,0.756805941907613
1359,-4.5,67.5,2107.8917453509407,0.1434749140530489,0.7545831244723029
1360,-4.5,68.1,2172.850909001204,0.15477018794485634,0.7556151035110752
1361,-4.5,68.7,2237.9260226493298,0.15288852978521372,0.7553942574402263
1362,-4.5,69.3,2303.107567381447,0.15454081587404656,0.7571100184135278
1363,-4.5,69.9,2368.387042345469,0.16227416950694423,0.7562510123260426
1364,-4.5,70.5,2433.7568317552077,0.15543707351922983,0.7567091450585653
1365,-4.5,71.1,2499.210091944792,0.15305197169171086,0.7490757687636153
1366,-3.9,32.7,1874.2746648892569,0.013274635790767904,0.8433837538833392
1367,-3.9,33.3,1809.910821455078,0.007725181711101418,0.8481088210370258
1368,-3.9,33.9,1745.699600620606,0.028048186938990232,0.8486297444293974
1369,-3.9,34.5,1681.65920345775,0.028638351428664693,0.8534930546112857
1370,-3.9,35.1,1617.8106743419542,-0.06957171318967727,0.8579968728264582
1371,-3.9,35.7,1554.1784614274782,-0.0626145583442297,0.8590183183381686
1372,-3.9,36.3,1490.7911111885237,-0.021548922579720537,0.8620490119766662
1373,-3.9,36.9,1427.6821345793032,0.015673683972996354,0.861858125203634
1374,-3.9,37.5,1364.8910942989182,0.026339999302866235,0.8588409599851216
1375,-3.9,38.1,1302.4649787292926,0.01899345334775047,0.860357283461553
1376,-3.9,38.7,1240.4599498425644,0.07308528184023226,0.861309825910918
1377,-3.9,39.3,1178.943581737625,0.08344435148455667,0.8616207376875921
1378,-3.9,39.9,1117.9977460236878,0.09787392022430834,0.8653998027206078
1379,-3.9,40.5,1057.7223531098925,0.07929151881952841,0.8674954123397147
1380,-3.9,41.1,998.2402278211491,0.17382428455304907,0.8644205832903602
1381,-3.9,41.7,939.7034858098522,0.2226298201503798,0.8652110493897698
1382,-3.9,42.3,882.3018819281988,0.25372825160550155,0.8679883630506897
1383,-3.9,42.9,826.2737095005161,0.33052270792878463,0.8568862683315454
1384,-3.9,43.5,771.9198993434463,0.23176001262453472,0.8603565997902941
1385,-3.9,44.1,719.6218990801882,0.23806444907674656,0.870077634413146
1386,-3.9,44.7,669.863488490939,0.36968453173850124,0.8740352901072638
1387,-3.9,45.3,623.2554801111332,0.4809119908494488,0.8790191830458309
1388,-3.9,45.9,580.5595556208159,0.5462666782268126,0.8830463553498551
1389,-3.9,46.5,542.702428715606,0.5843606463928971,0.8866763570105639
1390,-3.9,47.1,510.7639365152675,0.608038708021662,0.8865353947970596
1391,-3.9,47.7,485.9154585173848,0.6092500776871309,0.8880334978164682
1392,-3.9,48.3,469.28758809749837,0.5951288361610281,0.8890062119141956
1393,-3.9,48.9,461.7722672418198,0.6087979780590295,0.8807169473345707
1394,-3.9,49.5,463.8156839337824,0.5624959865577401,0.8727188218562606
1395,-3.9,50.1,475.29749785214887,0.49080935452467067,0.8674437242364483
1396,-3.9,50.7,495.5648975631441,0.4333909463304038,0.862059142320949
1397,-3.9,51.3,523.6012937349918,0.4080979660509012,0.8528640476609901
1398,-3.9,51.9,558.2398168586235,0.3501283538086551,0.8500918279548014
1399,-3.9,52.5,598.3372158771615,0.31611797100661515,0.8354196057541698
1400,-3.9,53.1,642.8749545810605,0.2892468939466838,0.837955755011224
1401,-3.9,53.7,690.9969030686643,0.30567027623688453,0.8398690610467804
1402,-3.9,54.3,742.0078262304,0.2729581786009348,0.8256106997164264
1403,-3.9,54.9,795.3537039164003,0.24857366504408024,0.8062693479539688
1404,-3.9,55.5,850.5968587405723,0.1939307295208703,0.8051704563705485
1405,-3.9,56.1,907.3922437714344,0.17189904642341908,0.8088203889366138
1406,-3.9,56.7,965.4672701883565,0.1626163663522763,0.8111665067947519
1407,-3.9,57.3,1024.605587558236,0.11927216623913726,0.8281065290717429
