nm,QE
538.85,0.85674
539.11,0.85666
539.37,0.85656
539.62,0.85647
539.88,0.85638
540.14,0.85628
540.4,0.85619
540.66,0.85609
540.92,0.856
541.18,0.85591
541.44,0.85581
541.7,0.85572
541.96,0.85562
542.21,0.85553
542.47,0.85544
542.73,0.85534
542.99,0.85525
543.25,0.85516
543.51,0.85506
543.77,0.85497
544.03,0.85487
544.29,0.85478
544.55,0.85468
544.8,0.85459
545.06,0.8545
545.32,0.8544
545.58,0.85431
545.84,0.85422
546.1,0.85412
546.36,0.85403
546.62,0.85393
546.88,0.85384
547.13,0.85375
547.39,0.85365
547.65,0.85356
547.91,0.85347
548.17,0.85337
548.43,0.8533
548.69,0.85324
548.95,0.85319
549.21,0.85313
549.46,0.85308
549.72,0.85302
549.98,0.85296
550.24,0.85291
550.5,0.85285
550.76,0.85279
551.02,0.85274
551.28,0.85268
551.53,0.85263
551.79,0.85257
552.05,0.85251
552.31,0.85246
552.57,0.8524
552.83,0.85234
553.09,0.85229
553.34,0.85223
553.6,0.85218
553.86,0.85212
554.12,0.85206
554.38,0.85201
554.64,0.85195
554.9,0.85189
555.15,0.85184
555.41,0.85178
555.67,0.85173
555.93,0.85167
556.19,0.85167
556.45,0.85167
556.71,0.85167
556.96,0.85167
557.22,0.85167
557.48,0.85167
557.74,0.85167
558,0.85167
558.26,0.85167
558.52,0.85167
558.77,0.85167
559.03,0.85167
559.29,0.85167
559.55,0.85167
559.81,0.85167
560.07,0.85167
560.32,0.85167
560.58,0.85167
560.84,0.85167
561.1,0.85167
561.36,0.85167
561.62,0.85167
561.87,0.85167
562.13,0.85167
562.39,0.85167
562.65,0.85167
562.91,0.85167
563.17,0.85167
563.42,0.85167
563.68,0.85167
563.94,0.85167
564.2,0.85167
564.46,0.85167
564.72,0.85167
564.97,0.85167
565.23,0.85167
565.49,0.85167
565.75,0.85167
566.01,0.85167
566.27,0.85167
566.52,0.85167
566.78,0.85167
567.04,0.85167
567.3,0.85167
567.56,0.85167
567.81,0.85167
568.07,0.85167
568.33,0.85167
568.59,0.85167
568.85,0.85167
569.11,0.85167
569.36,0.85167
569.62,0.85167
569.88,0.85167
570.14,0.85167
570.4,0.85167
570.65,0.85167
570.91,0.85167
571.17,0.85167
571.43,0.85167
571.69,0.85167
571.94,0.85167
572.2,0.85167
572.46,0.85167
572.72,0.85167
572.98,0.85162
573.23,0.85155
573.49,0.85148
573.75,0.85141
574.01,0.85134
574.27,0.85127
574.52,0.8512
574.78,0.85113
575.04,0.85106
575.3,0.85099
575.56,0.85092
575.81,0.85085
576.07,0.85078
576.33,0.85071
576.59,0.85064
576.84,0.85057
577.1,0.8505
577.36,0.85043
577.62,0.85036
577.88,0.85028
578.13,0.85022
578.39,0.85015
578.65,0.85008
578.91,0.85
579.17,0.84989
579.42,0.84977
579.68,0.84965
579.94,0.84953
580.2,0.84941
580.45,0.84929
580.71,0.84917
580.97,0.84905
581.23,0.84893
581.48,0.84881
581.74,0.84869
582,0.84857
582.26,0.84845
582.52,0.84833
582.77,0.84821
583.03,0.84809
583.29,0.84797
583.55,0.84785
583.8,0.84773
584.06,0.84761
584.32,0.84749
584.58,0.84737
584.83,0.84725
585.09,0.84713
585.35,0.84701
585.61,0.84689
585.86,0.84677
586.12,0.84665
586.38,0.84653
586.64,0.84641
586.89,0.84629
587.15,0.84617
587.41,0.84605
587.67,0.84593
587.92,0.84581
588.18,0.84569
588.44,0.84557
588.7,0.84545
588.95,0.84533
589.21,0.84521
589.47,0.84509
589.73,0.84495
589.98,0.8448
590.24,0.84464
590.5,0.84448
590.76,0.84431
591.01,0.84416
591.27,0.844
591.53,0.84383
591.79,0.84367
592.04,0.84352
592.3,0.84336
592.56,0.84319
592.81,0.84304
593.07,0.84288
593.33,0.84272
593.59,0.84255
593.84,0.8424
594.1,0.84224
594.36,0.84208
594.62,0.84191
594.87,0.84176
595.13,0.8416
595.39,0.84144
595.64,0.84128
595.9,0.84112
596.16,0.84096
596.42,0.8408
596.67,0.84064
596.93,0.84048
597.19,0.84032
597.44,0.84016
597.7,0.84
597.96,0.83984
598.22,0.83968
598.47,0.83952
598.73,0.83936
598.99,0.8392
599.24,0.83904
599.5,0.83888
599.76,0.83872
600.02,0.83856
600.27,0.8384
600.53,0.83817
600.79,0.83789
601.04,0.83762
601.3,0.83734
601.56,0.83705
601.81,0.83678
602.07,0.8365
602.33,0.83622
602.59,0.83593
602.84,0.83566
603.1,0.83538
603.36,0.8351
603.61,0.83482
603.87,0.83454
604.13,0.83426
604.38,0.83399
604.64,0.8337
604.9,0.83342
605.15,0.83315
605.41,0.83287
605.67,0.83258
605.92,0.83231
606.18,0.83203
606.44,0.83175
606.7,0.83146
606.95,0.83119
607.21,0.83091
607.47,0.83063
607.72,0.83035
607.98,0.83007
608.24,0.82979
608.49,0.82952
608.75,0.82923
609.01,0.82895
609.26,0.82868
609.52,0.8284
609.78,0.828
610.03,0.8276
610.29,0.82717
610.55,0.82675
610.8,0.82634
611.06,0.82592
611.32,0.82549
611.57,0.82508
611.83,0.82466
612.09,0.82424
612.34,0.82383
612.6,0.8234
612.86,0.82298
613.11,0.82257
613.37,0.82215
613.63,0.82172
613.88,0.82132
614.14,0.82089
614.4,0.82047
614.65,0.82006
614.91,0.81964
615.17,0.81921
615.42,0.8188
615.68,0.81838
615.94,0.81796
616.19,0.81755
616.45,0.81712
616.7,0.81672
616.96,0.81629
617.22,0.81587
617.47,0.81546
617.73,0.81504
617.99,0.81461
618.24,0.8142
618.5,0.81378
618.76,0.81336
619.01,0.81256
619.27,0.81171
619.53,0.81087
619.78,0.81005
620.04,0.8092
620.29,0.80839
620.55,0.80754
620.81,0.80669
621.06,0.80587
621.32,0.80503
621.58,0.80418
621.83,0.80336
622.09,0.80251
622.34,0.8017
622.6,0.80085
622.86,0.8
623.11,0.79919
623.37,0.79834
623.63,0.79749
623.88,0.79667
624.14,0.79583
624.39,0.79501
624.65,0.79416
624.91,0.79331
625.16,0.7925
625.42,0.79165
625.68,0.7908
625.93,0.78999
626.19,0.78914
626.44,0.78832
626.7,0.78747
626.96,0.78663
627.21,0.78581
627.47,0.78496
627.72,0.78415
627.98,0.78328
628.24,0.78186
628.49,0.7805
628.75,0.77909
629,0.77773
629.26,0.77632
629.52,0.7749
629.77,0.77354
630.03,0.77213
630.29,0.77071
630.54,0.76936
630.8,0.76794
631.05,0.76658
631.31,0.76517
631.56,0.76381
631.82,0.7624
632.08,0.76098
632.33,0.75962
632.59,0.75821
632.84,0.75685
633.1,0.75544
633.36,0.75402
633.61,0.75266
633.87,0.75125
634.12,0.74989
634.38,0.74848
634.64,0.74706
634.89,0.7457
635.15,0.74429
635.4,0.74293
635.66,0.74152
635.91,0.74016
636.17,0.73874
636.43,0.73733
636.68,0.73597
636.94,0.73456
637.19,0.7332
637.45,0.73178
637.71,0.73037
637.96,0.72901
638.22,0.7276
638.47,0.72624
638.73,0.72484
638.98,0.72359
639.24,0.7223
639.5,0.72101
639.75,0.71977
640.01,0.71847
640.26,0.71723
640.52,0.71594
640.77,0.7147
641.03,0.7134
641.28,0.71216
641.54,0.71087
641.8,0.70958
642.05,0.70833
642.31,0.70704
642.56,0.7058
642.82,0.7045
643.07,0.70326
643.33,0.70197
643.58,0.70073
643.84,0.69943
644.1,0.69814
644.35,0.6969
644.61,0.69561
644.86,0.69436
645.12,0.69307
645.37,0.69183
645.63,0.69053
645.88,0.68929
646.14,0.688
646.39,0.68676
646.65,0.68546
646.91,0.68417
647.16,0.68293
647.42,0.68164
647.67,0.68039
647.93,0.6791
648.18,0.67786
648.44,0.67657
648.69,0.67532
648.95,0.67403
649.2,0.67279
649.46,0.67139
649.71,0.6694
649.97,0.66732
650.23,0.66525
650.48,0.66326
650.74,0.66118
650.99,0.65919
651.25,0.65711
651.5,0.65512
651.76,0.65305
652.01,0.65105
652.27,0.64898
652.52,0.64699
652.78,0.64491
653.03,0.64292
653.29,0.64085
653.54,0.63885
653.8,0.63678
654.05,0.63478
654.31,0.63271
654.56,0.63072
654.82,0.62864
655.07,0.62665
655.33,0.62458
655.58,0.62258
655.84,0.62051
656.09,0.61852
656.35,0.61644
656.6,0.61445
656.86,0.61237
657.11,0.61038
657.37,0.60831
657.62,0.60631
657.88,0.60424
658.13,0.60225
658.39,0.60017
658.64,0.59777
658.9,0.59018
659.15,0.58289
659.41,0.5753
659.66,0.56801
659.92,0.56042
660.17,0.55312
660.43,0.54554
660.68,0.53824
660.94,0.53065
661.19,0.52336
661.45,0.51577
661.7,0.50848
661.96,0.50089
662.21,0.49359
662.47,0.48601
662.72,0.47871
662.98,0.47112
663.23,0.46383
663.49,0.45624
663.74,0.44895
664,0.44136
664.25,0.43406
664.51,0.42648
664.76,0.41918
665.02,0.41159
665.27,0.4043
665.53,0.39671
665.78,0.38942
666.04,0.38183
666.29,0.37453
666.55,0.36695
666.8,0.35965
667.05,0.35236
667.31,0.34477
667.56,0.33747
667.82,0.3299
668.07,0.32365
668.33,0.31715
668.58,0.3109
668.84,0.30439
669.09,0.29814
