wavelength (nm),Xe arc lamp (W*m-2*nm-1)
537.23309,0.65788
537.45947,0.6586
537.68579,0.66064
537.91217,0.6644
538.13855,0.66632
538.36493,0.66724
538.59137,0.66884
538.81781,0.66996
539.04425,0.67096
539.27069,0.67212
539.49713,0.67308
539.72363,0.67372
539.95007,0.67428
540.17657,0.67512
540.40314,0.67476
540.62964,0.67596
540.8562,0.67612
541.0827,0.67644
541.30927,0.67748
541.53589,0.68
541.76245,0.68156
541.98907,0.6838
542.21564,0.68744
542.44226,0.68912
542.66895,0.69072
542.89557,0.6928
543.12225,0.69432
543.34894,0.695
543.57562,0.69428
543.80231,0.6934
544.02905,0.69368
544.25574,0.69572
544.48248,0.69816
544.70923,0.7004
544.93604,0.70348
545.16278,0.70468
545.38959,0.70496
545.61639,0.70504
545.8432,0.70416
546.07001,0.7036
546.29688,0.70356
546.52374,0.70464
546.75061,0.70364
546.97748,0.70352
547.20435,0.70332
547.43127,0.70348
547.6582,0.70404
547.88513,0.7052
548.11206,0.70604
548.33905,0.7064
548.56598,0.70696
548.79297,0.7066
549.01996,0.70736
549.24695,0.70912
549.474,0.70944
549.70099,0.71108
549.92804,0.7128
550.15509,0.71388
550.3822,0.71476
550.60925,0.71452
550.83636,0.71352
551.06348,0.7112
551.29059,0.71104
551.5177,0.71124
551.74487,0.71168
551.97198,0.7114
552.19916,0.71176
552.42633,0.71364
552.65356,0.7156
552.88074,0.71688
553.10797,0.71804
553.33521,0.71928
553.56244,0.71928
553.78973,0.71708
554.01697,0.71632
554.24426,0.71728
554.47156,0.71916
554.69885,0.72148
554.92621,0.72328
555.1535,0.72516
555.38086,0.72736
555.60822,0.73016
555.83557,0.73088
556.06299,0.73056
556.29034,0.73
556.51776,0.73136
556.74518,0.7314
556.9726,0.73164
557.20007,0.73144
557.42749,0.73268
557.65497,0.73332
557.88245,0.73444
558.10992,0.73508
558.33746,0.73596
558.56494,0.7358
558.79248,0.73488
559.02002,0.73264
559.24762,0.73
559.47516,0.727
559.70276,0.72416
559.93036,0.7218
560.15796,0.72036
560.38556,0.71872
560.61322,0.71864
560.84082,0.71956
561.06848,0.71824
561.29614,0.71792
561.5238,0.719
561.75153,0.71928
561.97925,0.71736
562.20697,0.71384
562.43469,0.70984
562.66241,0.70652
562.89014,0.70284
563.11792,0.70144
563.3457,0.69972
563.57349,0.7002
563.80133,0.70316
564.02911,0.70716
564.25696,0.70856
564.4848,0.70956
564.71265,0.70772
564.94049,0.70372
565.1684,0.69968
565.39624,0.69664
565.62415,0.69532
565.85211,0.69504
566.08002,0.69548
566.30792,0.69752
566.53589,0.70044
566.76386,0.70352
566.99182,0.70648
567.21985,0.70788
567.44781,0.70928
567.67584,0.70844
567.90387,0.7078
568.1319,0.70748
568.35992,0.70588
568.58801,0.70496
568.8161,0.70568
569.04419,0.70352
569.27228,0.70232
569.50037,0.70448
569.72852,0.70572
569.9566,0.70476
570.18475,0.70608
570.41296,0.70728
570.64111,0.70468
570.86926,0.70312
571.09747,0.7022
571.32568,0.7002
571.55389,0.69728
571.78217,0.69512
572.01038,0.69348
572.23865,0.6922
572.46692,0.69068
572.69519,0.68792
572.92346,0.68636
573.15179,0.68576
573.38013,0.68488
573.60846,0.68636
573.83679,0.68632
574.06512,0.68608
574.29352,0.68736
574.52191,0.69
574.75031,0.69052
574.9787,0.68948
575.20709,0.68908
575.43555,0.68812
575.66394,0.68484
575.89239,0.68328
576.12085,0.68172
576.34937,0.68128
576.57782,0.68128
576.80634,0.68116
577.03485,0.68304
577.26337,0.6872
577.49188,0.68984
577.72046,0.68824
577.94904,0.68892
578.17761,0.69004
578.40619,0.69432
578.63477,0.69632
578.8634,0.69696
579.09198,0.69752
579.32062,0.69848
579.54926,0.69996
579.77795,0.69984
580.00659,0.6972
580.23529,0.69668
580.46399,0.69612
580.69269,0.69588
580.92139,0.69812
581.15015,0.70184
581.37891,0.70524
581.60767,0.7074
581.83643,0.70832
582.06519,0.70824
582.29395,0.71292
582.52277,0.71888
582.75159,0.72192
582.98041,0.72116
583.20923,0.72088
583.43811,0.7182
583.66699,0.71396
583.89581,0.70848
584.12476,0.704
584.35364,0.70236
584.58252,0.70408
584.81146,0.70772
585.04041,0.7126
585.26935,0.7204
585.49829,0.72376
585.72729,0.72592
585.95624,0.72696
586.18524,0.72452
586.41425,0.72128
586.64325,0.71888
586.87231,0.7158
587.10132,0.71092
587.33038,0.709
587.55945,0.70996
587.78851,0.7116
588.01764,0.7162
588.2467,0.72256
588.47583,0.7288
588.70496,0.73236
588.93408,0.73352
589.16327,0.73272
589.39239,0.73144
589.62158,0.7292
589.85077,0.72356
590.07996,0.72044
590.3092,0.71772
590.53839,0.71612
590.76764,0.71772
590.99689,0.72236
